शुद्धकार,Suddhakar
श्याउला,Shyaula
श्यामा,Shyama
श्रीखण्ड,Shreekhanda
श्रेष्ठ,Shrestha
श्रेष्ठाचार्य,Shresthacharya
सँय्,Sanye
संखद्यः,Sankhadya
संगत,Sangat
सतः,Sata
सतजु,Sataju
सत्ता,Satta
सबा,Sabaa
साँगाछें,Sangachhen
सांगामि,Sangami
सांय्‌जु,Sanyju
साःछें,Saachhen
साःपु,Saapu
साकुमि,Sakumi
साखः,Sakha
साखकःमि,Sakhakami
साखकर्मी,Sakhakarmi
साख्वा,Sakhwa
साचिन,Sachin
साध,Sadha
साय्‌मि,Sayami
सालालिक,Salalik
सालिके,Salike
साही,Sahi
साहु,Sahu
साहुखलः,Sahukhala
सिँकःमि,Sinkami
सिंकु,Sinku
सिंख्वाल,Sinkhwal
सिंन्या,Sinnya
सिंबञ्जार,Sibanjar
सिंह,Singh
सिकर्मी,Sikarmi
सिकु,Siku
सिजख्व,Sijakhwo
सिजापति,Sijapati
सितिखु,Sitikhu
सिनारिँ,Sinarin
सिन्केमन,Sinkemana
सिन्केमनि,Sinkemani
सिन्ताकल,Sintakala
सिन्ताकले,Sintakale
सिन्दुरकार,Sindurkar
सिन्या,Sinya
सिन्हख्वं,Sinhakhwon
सिपाइ,Sipai
सिमांगैडा,Simagaida
सिमाक,Simaka
सिमाछ्वा,Simachhwa
सिलंथा,Silantha
सुकमनि,Sukamani
सुकुपायो,Sukupayo
सुकुभट्टु,Sukubhattu
सुकुमन्त,Sukumanta
सुकुलासि,Sukulasi
सुजखु,Sujakhu
सुर्यवंशी,Suryabanshi
सुलु,Sulu
सुल्पे,Sulpe
सुल्प्या,Sulpya
सुवाः,Suwaa
सुवाल,Suwal
सुवेदी,Subedi
सेलालिक,Selalik
सेवाचार्य,Sewacharya
सैंजु,Sainju
सैजु,Saiju
सोम्नामे,Somname
स्थापित,Sthapit
स्यःस्यः,Syasya
स्वंगमिखा,Swongamikha
स्वनेप,Swanepa
स्वपु,Swapu
हँजु,Hanju
हंयजु,Hanyeju
हलवाइ,Halwai
हाँछे,Hanchhen
हाँजु,Haanju
हाँय्‌मो,Hanymo
हाकु पोतासि,Haku Potasi
हाकुतरी,Hakutari
हाकुदुव,Hakuduwo
हाछेथु,Hachhethu
हाडा,Hada
हामो,Hamo
हालाहुलु,Halahulu
हालेयो,Haleyo
हिँचोमि,Hinchomi
हेउम्बा,Heaumba
हेका,Heka
हेम्बा,Hemba
हैजु,Haiju
होना,Hona
होरा,Hora
होराजु,Horaju
ह्ङपाँछें,Hngapanchhen
ह्यंगुमिखा,Hyangumikha
ह्यंगोजु,Hyangoju
ह्यंग्वाः,Hyangwa
ह्याउँथ्वं,Hyaunthon
ह्योजु,Hyoju
ह्वँ,Hwon
